,symbol,gics_sector
0,MMM,Industrials
1,ABT,Health Care
2,ABBV,Health Care
3,ABMD,Health Care
4,ACN,Information Technology
5,ATVI,Communication Services
6,ADBE,Information Technology
7,AMD,Information Technology
8,AAP,Consumer Discretionary
9,AES,Utilities
10,AFL,Financials
11,A,Health Care
12,APD,Materials
13,AKAM,Information Technology
14,ALK,Industrials
15,ALB,Materials
16,ARE,Real Estate
17,ALXN,Health Care
18,ALGN,Health Care
19,ALLE,Industrials
20,LNT,Utilities
21,ALL,Financials
22,GOOGL,Communication Services
23,GOOG,Communication Services
24,MO,Consumer Staples
25,AMZN,Consumer Discretionary
26,AMCR,Materials
27,AEE,Utilities
28,AAL,Industrials
29,AEP,Utilities
30,AXP,Financials
31,AIG,Financials
32,AMT,Real Estate
33,AWK,Utilities
34,AMP,Financials
35,ABC,Health Care
36,AME,Industrials
37,AMGN,Health Care
38,APH,Information Technology
39,ADI,Information Technology
40,ANSS,Information Technology
41,ANTM,Health Care
42,AON,Financials
43,AOS,Industrials
44,APA,Energy
45,AAPL,Information Technology
46,AMAT,Information Technology
47,APTV,Consumer Discretionary
48,ADM,Consumer Staples
49,ANET,Information Technology
50,AJG,Financials
51,AIZ,Financials
52,T,Communication Services
53,ATO,Utilities
54,ADSK,Information Technology
55,ADP,Information Technology
56,AZO,Consumer Discretionary
57,AVB,Real Estate
58,AVY,Materials
59,BKR,Energy
60,BLL,Materials
61,BAC,Financials
62,BK,Financials
63,BAX,Health Care
64,BDX,Health Care
65,BRK.B,Financials
66,BBY,Consumer Discretionary
67,BIO,Health Care
68,BIIB,Health Care
69,BLK,Financials
70,BA,Industrials
71,BKNG,Consumer Discretionary
72,BWA,Consumer Discretionary
73,BXP,Real Estate
74,BSX,Health Care
75,BMY,Health Care
76,AVGO,Information Technology
77,BR,Information Technology
78,BF.B,Consumer Staples
79,CHRW,Industrials
80,COG,Energy
81,CDNS,Information Technology
82,CPB,Consumer Staples
83,COF,Financials
84,CAH,Health Care
85,KMX,Consumer Discretionary
86,CCL,Consumer Discretionary
87,CARR,Industrials
88,CTLT,Health Care
89,CAT,Industrials
90,CBOE,Financials
91,CBRE,Real Estate
92,CDW,Information Technology
93,CE,Materials
94,CNC,Health Care
95,CNP,Utilities
96,CERN,Health Care
97,CF,Materials
98,SCHW,Financials
99,CHTR,Communication Services
100,CVX,Energy
101,CMG,Consumer Discretionary
102,CB,Financials
103,CHD,Consumer Staples
104,CI,Health Care
105,CINF,Financials
106,CTAS,Industrials
107,CSCO,Information Technology
108,C,Financials
109,CFG,Financials
110,CTXS,Information Technology
111,CLX,Consumer Staples
112,CME,Financials
113,CMS,Utilities
114,KO,Consumer Staples
115,CTSH,Information Technology
116,CL,Consumer Staples
117,CMCSA,Communication Services
118,CMA,Financials
119,CAG,Consumer Staples
120,CXO,Energy
121,COP,Energy
122,ED,Utilities
123,STZ,Consumer Staples
124,COO,Health Care
125,CPRT,Industrials
126,GLW,Information Technology
127,CTVA,Materials
128,COST,Consumer Staples
129,CCI,Real Estate
130,CSX,Industrials
131,CMI,Industrials
132,CVS,Health Care
133,DHI,Consumer Discretionary
134,DHR,Health Care
135,DRI,Consumer Discretionary
136,DVA,Health Care
137,DE,Industrials
138,DAL,Industrials
139,XRAY,Health Care
140,DVN,Energy
141,DXCM,Health Care
142,FANG,Energy
143,DLR,Real Estate
144,DFS,Financials
145,DISCA,Communication Services
146,DISCK,Communication Services
147,DISH,Communication Services
148,DG,Consumer Discretionary
149,DLTR,Consumer Discretionary
150,D,Utilities
151,DPZ,Consumer Discretionary
152,DOV,Industrials
153,DOW,Materials
154,DTE,Utilities
155,DUK,Utilities
156,DRE,Real Estate
157,DD,Materials
158,DXC,Information Technology
159,EMN,Materials
160,ETN,Industrials
161,EBAY,Consumer Discretionary
162,ECL,Materials
163,EIX,Utilities
164,EW,Health Care
165,EA,Communication Services
166,EMR,Industrials
167,ETR,Utilities
168,EOG,Energy
169,EFX,Industrials
170,EQIX,Real Estate
171,EQR,Real Estate
172,ESS,Real Estate
173,EL,Consumer Staples
174,ETSY,Consumer Discretionary
175,EVRG,Utilities
176,ES,Utilities
177,RE,Financials
178,EXC,Utilities
179,EXPE,Consumer Discretionary
180,EXPD,Industrials
181,EXR,Real Estate
182,XOM,Energy
183,FFIV,Information Technology
184,FB,Communication Services
185,FAST,Industrials
186,FRT,Real Estate
187,FDX,Industrials
188,FIS,Information Technology
189,FITB,Financials
190,FE,Utilities
191,FRC,Financials
192,FISV,Information Technology
193,FLT,Information Technology
194,FLIR,Information Technology
195,FLS,Industrials
196,FMC,Materials
197,F,Consumer Discretionary
198,FTNT,Information Technology
199,FTV,Industrials
200,FBHS,Industrials
201,FOXA,Communication Services
202,FOX,Communication Services
203,BEN,Financials
204,FCX,Materials
205,GPS,Consumer Discretionary
206,GRMN,Consumer Discretionary
207,IT,Information Technology
208,GD,Industrials
209,GE,Industrials
210,GIS,Consumer Staples
211,GM,Consumer Discretionary
212,GPC,Consumer Discretionary
213,GILD,Health Care
214,GL,Financials
215,GPN,Information Technology
216,GS,Financials
